beta_churn_max,beta_churn_window,window,timerange,exit_code,total_trades,total_profit_pct,profit_factor,sharpe,max_dd_pct,long_profit_pct,short_profit_pct
0.006,12,2024,20240101-20241231,0,26,18.27,1.45,0.20,10.25,1.98,16.29
0.006,12,2025-2026Q1,20250101-20260331,0,40,-0.81,0.98,-0.01,12.68,-12.17,11.36
0.0075,12,2024,20240101-20241231,0,26,15.81,1.34,0.16,10.25,7.66,8.15
0.0075,12,2025-2026Q1,20250101-20260331,0,46,4.52,1.07,0.05,10.02,-9.70,14.22
0.0085,12,2024,20240101-20241231,0,30,18.3,1.38,0.20,10.25,7.67,10.64
0.0085,12,2025-2026Q1,20250101-20260331,0,46,4.54,1.07,0.05,10.02,-9.88,14.42
0.01,12,2024,20240101-20241231,0,32,21.36,1.44,0.24,10.25,7.75,13.61
0.01,12,2025-2026Q1,20250101-20260331,0,46,4.49,1.07,0.05,10.02,-10.05,14.54
0.012,12,2024,20240101-20241231,0,34,17.99,1.36,0.21,10.26,6.29,11.70
0.012,12,2025-2026Q1,20250101-20260331,0,46,4.49,1.07,0.05,10.02,-10.05,14.54
